Sno,Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths
1,30/01/20,Kerala,1,0,0,0
2,31/01/20,Kerala,1,0,0,0
3,01/02/20,Kerala,2,0,0,0
4,02/02/20,Kerala,3,0,0,0
5,03/02/20,Kerala,3,0,0,0
6,04/02/20,Kerala,3,0,0,0
7,05/02/20,Kerala,3,0,0,0
8,06/02/20,Kerala,3,0,0,0
9,07/02/20,Kerala,3,0,0,0
10,08/02/20,Kerala,3,0,0,0
11,09/02/20,Kerala,3,0,0,0
12,10/02/20,Kerala,3,0,0,0
13,11/02/20,Kerala,3,0,0,0
14,12/02/20,Kerala,3,0,0,0
15,13/02/20,Kerala,3,0,0,0
16,14/02/20,Kerala,3,0,0,0
17,15/02/20,Kerala,3,0,0,0
18,16/02/20,Kerala,3,0,0,0
19,17/02/20,Kerala,3,0,0,0
20,18/02/20,Kerala,3,0,0,0
21,19/02/20,Kerala,3,0,0,0
22,20/02/20,Kerala,3,0,0,0
23,21/02/20,Kerala,3,0,0,0
24,22/02/20,Kerala,3,0,0,0
25,23/02/20,Kerala,3,0,0,0
26,24/02/20,Kerala,3,0,0,0
27,25/02/20,Kerala,3,0,0,0
28,26/02/20,Kerala,3,0,0,0
29,27/02/20,Kerala,3,0,0,0
30,28/02/20,Kerala,3,0,0,0
31,29/02/20,Kerala,3,0,0,0
32,01/03/20,Kerala,3,0,0,0
33,02/03/20,Telengana,1,0,0,0
34,02/03/20,Kerala,3,0,0,0
35,02/03/20,Delhi,1,0,0,0
36,03/03/20,Telengana,1,0,0,0
37,03/03/20,Rajasthan,0,1,0,0
38,03/03/20,Kerala,3,0,3,0
39,03/03/20,Delhi,1,0,0,0
40,04/03/20,Uttar Pradesh,6,0,0,0
41,04/03/20,Kerala,3,0,3,0
42,04/03/20,Haryana,0,2,0,0
43,04/03/20,Delhi,1,0,0,0
44,04/03/20,Telengana,1,0,0,0
45,04/03/20,Rajasthan,1,14,0,0
46,05/03/20,Delhi,2,0,0,0
47,05/03/20,Haryana,0,2,0,0
48,05/03/20,Kerala,3,0,3,0
49,05/03/20,Rajasthan,1,14,0,0
50,05/03/20,Telengana,1,0,0,0
51,05/03/20,Uttar Pradesh,7,0,0,0
52,06/03/20,Delhi,3,0,0,0
53,06/03/20,Haryana,0,2,0,0
54,06/03/20,Kerala,3,0,3,0
55,06/03/20,Rajasthan,1,14,0,0
56,06/03/20,Uttar Pradesh,7,0,0,0
57,06/03/20,Telengana,1,0,0,0
58,07/03/20,Kerala,3,0,3,0
59,07/03/20,Uttar Pradesh,7,0,0,0
60,07/03/20,Union Territory of Ladakh,2,0,0,0
61,07/03/20,Telengana,1,0,0,0
62,07/03/20,Tamil Nadu,1,0,0,0
63,07/03/20,Delhi,3,0,0,0
64,07/03/20,Haryana,0,2,0,0
65,07/03/20,Rajasthan,1,14,0,0
66,08/03/20,Union Territory of Ladakh,2,0,0,0
67,08/03/20,Telengana,1,0,0,0
68,08/03/20,Tamil Nadu,1,0,0,0
69,08/03/20,Rajasthan,1,14,0,0
70,08/03/20,Kerala,8,0,3,0
71,08/03/20,Haryana,0,2,0,0
72,08/03/20,Delhi,3,0,0,0
73,08/03/20,Uttar Pradesh,7,0,0,0
74,09/03/20,Union Territory of Ladakh,2,0,0,0
75,09/03/20,Karnataka,1,0,0,0
76,09/03/20,Kerala,9,0,3,0
77,09/03/20,Maharashtra,2,0,0,0
78,09/03/20,Punjab,1,0,0,0
79,09/03/20,Rajasthan,1,14,0,0
80,09/03/20,Tamil Nadu,1,0,0,0
81,09/03/20,Telengana,1,0,0,0
